,A apol,A AMR,A nH,A nC,A nN,A nO,A nS,A MW,A nBondsD,A nBonds,A nBonds2,A Sv,A Sse,A Spe,A Sare,A Sp,A Si,A Mv,A Mse,A Mpe,A Mare,A Mp,A Mi,A ETA_dEpsilon_A,A ETA_dAlpha_B,A ETA_BetaP,A FMF,A fragC,A HOMO,A LOMO,A Bandgap,B apol,B AMR,B nH,B nC,B nN,B nO,B nS,B MW,B nBondsD,B nBonds,B nBonds2,B Sv,B Sse,B Spe,B Sare,B Sp,B Si,B Mv,B Mse,B Mpe,B Mare,B Mp,B Mi,B ETA_dEpsilon_A,B ETA_dAlpha_B,B ETA_BetaP,B FMF,B fragC,B HOMO,B LOMO,B Bandgap,Time (s),Potential (v)
A apol,1.0,0.996609639734805,0.7335077901701311,0.9717902285207501,0.534516887511777,0.8084071140260177,0.8775121553437799,0.9837589367862054,0.9825267532914003,0.990778167011001,0.9985060651897687,0.9990788950758048,0.9959588627227453,0.9961228034717099,0.9958198388128114,0.999974853350317,0.9930428751398883,0.77255233331304,0.8181075591386375,0.8487872537037409,0.8425543301454873,0.7421034603232625,-0.43550571791377507,0.855913509055728,-0.08303242117506865,0.5337308198109235,0.40291929130787046,0.9399628887478918,-0.2064720952253652,-0.8892157802292145,-0.7961466089726331,-0.08409933536135937,-0.08642057018755273,-0.03831221165389969,-0.08479838630394716,-0.06631133344901899,-0.08744272238646704,-0.07725154574647713,-0.08654518590543042,-0.0857505370864364,-0.08696539215772324,-0.08208765784759305,-0.08534948209686222,-0.08269133344848335,-0.08317292289798,-0.08318476213734902,-0.08405163622932996,-0.08062549415802214,-0.09395374974104614,-0.08795821947262354,-0.09133531511085825,-0.0904643506179558,-0.09148858117665773,0.07853297827528506,-0.09066201429476202,0.029712633365283868,-0.08223388281958295,-0.0557100307039645,-0.08026235750159613,-0.07977002276227674,0.10744774327550968,0.13293013792944786,3.8619277312710795e-16,-0.27033576250267616
A AMR,0.996609639734805,1.0,0.708145209762171,0.981757931849611,0.5150455378371429,0.795009309418205,0.8692278687844984,0.9775536048600798,0.9901858915285701,0.9900235474872847,0.9923008038908608,0.9952030591324555,0.9861500332043155,0.9865488461327889,0.9860314704231766,0.9961857876205162,0.9821702224658306,0.8100920895460465,0.8161276796405966,0.8529337135165113,0.8437343153669635,0.7864617642502465,-0.49007993416074386,0.8599921255692704,-0.14083439594385413,0.5831325380209592,0.45398888634710677,0.9394840129507002,-0.2195249258664941,-0.894908652492647,-0.7973652356525974,-0.08113497172846049,-0.08392107810119181,-0.03445155296983447,-0.08289919172985004,-0.06215359375866222,-0.08442842065143019,-0.07347437222021591,-0.08354501204224984,-0.08353699603062857,-0.08450709745289042,-0.07901704907915547,-0.08245953784457032,-0.07934273238611324,-0.07985797672869618,-0.07985919691619786,-0.0810542036379691,-0.07717567678067858,-0.09762564828024715,-0.08720075150388308,-0.09153576341860492,-0.09039166322783819,-0.095120901061445,0.08509913065455997,-0.09049183892514538,0.03235391044241647,-0.0890016338487463,-0.06329098116875814,-0.07673682332224172,-0.08277368075634224,0.10947527535988472,0.13591498550626277,4.0753268618489753e-16,-0.2554940792776276
A nH,0.7335077901701311,0.708145209762171,1.0,0.7037591704534524,0.6394599945038767,0.3421136640296864,0.44842598647491944,0.6336303584510488,0.6257354654417836,0.6394577131899785,0.7600375529698147,0.7091943858298108,0.753903751389045,0.7467545356034969,0.7462774549447592,0.7337616677873758,0.792080567850477,0.2665829696153707,0.29656314200213046,0.3154861852933944,0.3154872864451549,0.2785874204904723,0.007990913232892173,0.3285279416377227,-0.14060584373875576,0.24449309533299002,0.0729413519824216,0.5103187018308468,0.17075600841392094,-0.4656250511551481,-0.5090893277426903,-0.080520635261574,-0.08057421271339571,-0.07371568957580896,-0.08372978398069245,-0.06689733044450294,-0.050128662490761755,-0.0532121841548037,-0.07250012959209469,-0.07145152768290784,-0.07414803389568128,-0.08107605775383275,-0.07896629196507482,-0.08041415640624498,-0.08003609193457173,-0.07995920942210977,-0.0803939789715102,-0.08199521480478275,-0.04333168807100988,-0.030316497972993767,-0.033448523214691654,-0.03213095179069221,-0.04788952868167961,0.0357838338145318,-0.035643273565574556,0.05405145357285871,-0.03977945572790444,-0.006536178565594855,-0.07273596550243933,-0.09010464966429955,0.05621826010119867,0.08493108877398634,2.6277276554621244e-16,-0.21736698896052786
A nC,0.9717902285207501,0.981757931849611,0.7037591704534524,1.0,0.4707985414190618,0.7138773385596278,0.7826104238348705,0.929876459728118,0.9679053995924051,0.9622543373005534,0.9678650521962462,0.9663571861393773,0.9490208660290206,0.9489156064327167,0.9478198006557295,0.9700932283014085,0.9483123115021661,0.8496941569604276,0.7381880854346148,0.7927437111600582,0.7763892792789224,0.8431249237300739,-0.5906729223292297,0.7956090767247206,-0.2691553126513371,0.6518614885167614,0.5684195850750465,0.9036619036347167,-0.1556207474094702,-0.9012468597584247,-0.8246541405708984,-0.08259004739100867,-0.08459940361941429,-0.042861112889789006,-0.08543341568948905,-0.06088702405341977,-0.0814453307774356,-0.06809282738717588,-0.08296934911426149,-0.0815576779554619,-0.08480565908152451,-0.08153460377813466,-0.08357341386351377,-0.08138040787817985,-0.08174425225217999,-0.0817419613874565,-0.08247442935019261,-0.07984201864413883,-0.09389658186297242,-0.07974564176494783,-0.08478833213912731,-0.08347435499207267,-0.09136997775640472,0.08503059607203377,-0.08308162728995107,0.03201777070739723,-0.08420929200955703,-0.06599729008350337,-0.07419419746916549,-0.08420487966773255,0.10900248869318754,0.135896778755434,3.5608377808261226e-16,-0.20120517682841613
A nN,0.534516887511777,0.5150455378371429,0.6394599945038767,0.4707985414190618,1.0,0.12927779618292745,0.27443271386955165,0.4746690102475217,0.5041658762371298,0.48731410446212864,0.5522896177560749,0.5238739053202225,0.551486405583757,0.5496959004977074,0.5500306759809035,0.5359660055714129,0.5879797991990174,0.21019877681608415,0.20814781488189774,0.2606346240032535,0.26762072175917134,0.19626150477862161,0.26890714086511175,0.2611986673995388,0.14100807116614728,0.45701925117986547,0.1460417351077797,0.4000664066284747,0.494955640130913,-0.4615250641726683,-0.6122881597050771,-0.04298759244147102,-0.04586309212911584,0.009080713100420178,-0.048666444189248835,-0.05252268568796373,-0.03538140754258382,-0.0422620685679426,-0.04630830927130718,-0.05566129674639024,-0.05006110762727898,-0.03884432086936551,-0.044369311149754787,-0.037115202462852145,-0.03794603495300769,-0.03784093784550843,-0.04279352563427399,-0.03461469378090632,-0.0792352714806496,-0.06062681118118591,-0.06729507984162753,-0.06605349919985185,-0.07746395238298133,0.06419575185900388,-0.06611886107916053,0.01633141868161464,-0.07173018655554579,-0.057734208802728594,-0.0657110558768883,-0.1176630391098095,0.0791796826375035,0.11668057255497949,3.592018344796557e-16,-0.32495365632479417
A nO,0.8084071140260177,0.795009309418205,0.3421136640296864,0.7138773385596278,0.12927779618292745,1.0,0.9713317892607652,0.8938614608250425,0.8069016091232865,0.8531885382474422,0.796287575876202,0.8292390647702449,0.8235637129703729,0.8276101155123681,0.8287236637630963,0.8105434941043027,0.7872127351086752,0.6510206146384839,0.9690442041461699,0.939172483419514,0.9465114882545757,0.5661359354958254,-0.3913255772746257,0.946972365464791,0.24960543986798836,0.18313771444993077,0.14288347907295262,0.8805980421073254,-0.5689991514946023,-0.7474731715803317,-0.5385023050824491,-0.05803890576063207,-0.05916428657678733,-0.020888208427563927,-0.050839721179718536,-0.0435890834292949,-0.08464717785121763,-0.07152099104561332,-0.06564681065512867,-0.060177680158085375,-0.06130404219232698,-0.05621297856734141,-0.05990942721350971,-0.05937576307368709,-0.05986507459375069,-0.05999687294113028,-0.05825092778621112,-0.05673134108243137,-0.058813643792703395,-0.08270046845586408,-0.07914927475159822,-0.08024820534461172,-0.05393620451051583,0.03609963458263216,-0.07944518502097667,-0.005622649937209608,-0.040284714319505394,-0.017075285505094403,-0.05354081496193566,-0.008559276256841077,0.0716352718493062,0.07443496992980042,2.924547374193478e-16,-0.2401481502264974
A nS,0.8775121553437799,0.8692278687844984,0.44842598647491944,0.7826104238348705,0.27443271386955165,0.9713317892607652,1.0,0.9432637323127858,0.8840367479013393,0.9058388091935159,0.864129017630068,0.8925329059328235,0.8883726635752897,0.8915600493220281,0.8923747873271333,0.8795993640305394,0.8600119138306549,0.6667492132436856,0.9540377757270672,0.932411492705721,0.9380097693562699,0.6009463123907344,-0.35904352390820554,0.946948706051301,0.14973810005950222,0.26090394993122795,0.15436090205626699,0.9248973005440757,-0.5562593190124187,-0.7633151670086107,-0.5581142954088499,-0.06985556147275883,-0.07340888481606661,-0.015620065897744662,-0.06573657839084546,-0.05596379050462888,-0.09137513246260434,-0.08309387424897949,-0.07797629120013495,-0.07775488422444565,-0.07505240528951122,-0.06613157381360431,-0.07198706848819462,-0.06854722575051235,-0.06929681408162645,-0.0693633066632467,-0.06996579632457274,-0.06509758216691237,-0.08800799818095058,-0.09747326491302433,-0.09718886401848346,-0.09712954987325315,-0.08526766794458704,0.06697086874818639,-0.09797849817494539,0.023869362133083306,-0.07875707070362666,-0.04155435225971502,-0.0692966752372022,-0.031513816533000914,0.0944763702660124,0.10460005977484337,3.8364933574399085e-16,-0.279122565340217
A MW,0.9837589367862054,0.9775536048600798,0.6336303584510488,0.929876459728118,0.4746690102475217,0.8938614608250425,0.9432637323127858,1.0,0.9759645910276123,0.9927926664248855,0.9782846006745307,0.9901383159576086,0.9853446050716104,0.9870326207262735,0.987205652040442,0.9845199332490278,0.9724048112533149,0.7697834884819813,0.9009296356147594,0.9169173394136942,0.9151636144833315,0.7199717046865683,-0.4194803431482433,0.9243187541529226,0.032457980375711126,0.4707368442433884,0.34533297514400124,0.9659600212158089,-0.3058377969148841,-0.8915699108009366,-0.7655835255327978,-0.07861503530993523,-0.08106537899533639,-0.028595229031152747,-0.07726095696830614,-0.06271703623881951,-0.090632924014521,-0.07971158946822893,-0.08365865537421575,-0.08250703673265583,-0.08284999986833974,-0.07606837955658892,-0.08035149596642804,-0.07738009190353264,-0.07799515830181546,-0.07803820028532418,-0.07863446037246118,-0.07467341002852594,-0.0925454459281187,-0.09421755600460045,-0.09607644125662129,-0.09570096814765378,-0.08892018168172464,0.07352042811387689,-0.09549020430383386,0.019740374839390853,-0.07845988632753735,-0.05175740624495813,-0.07692450706451728,-0.06542458965522913,0.10512038785472433,0.12603866604589983,3.762959908211456e-16,-0.2869682381392126
A nBondsD,0.9825267532914003,0.9901858915285701,0.6257354654417836,0.9679053995924051,0.5041658762371298,0.8069016091232865,0.8840367479013393,0.9759645910276123,1.0,0.9871183643797772,0.9717551608585769,0.9843220497434547,0.9674338314088651,0.9690307141047301,0.968533248691424,0.9821082744961697,0.9583857053222796,0.8393255270593398,0.8408508920185781,0.8798463302435835,0.8701699407438404,0.8135005909905831,-0.5127574929492498,0.8879807082091811,-0.131813523795367,0.6106486697889388,0.4763741629083684,0.9492480080650296,-0.2633097331346637,-0.919197358892291,-0.8065005440983868,-0.07804839650776849,-0.08175676167841261,-0.022217753368070154,-0.07937436133650459,-0.06326695425520708,-0.08672617267231786,-0.07626072234246502,-0.08286456201520695,-0.0847470323243112,-0.08346167179911725,-0.07485053014295015,-0.07994568578024785,-0.0754874482327124,-0.07622343969307865,-0.07623122672534786,-0.07798253541123788,-0.07252471992519666,-0.10675675172460407,-0.09623128514352643,-0.10096629417311484,-0.09982153355835416,-0.10358170203186381,0.0915140714603963,-0.09985820812629312,0.031038426599404985,-0.1006686498318668,-0.07215919472746431,-0.07577137143153871,-0.0791750042886076,0.11747980519258126,0.1427839193312504,4.257970492788483e-16,-0.2560247985218084
A nBonds,0.990778167011001,0.9900235474872847,0.6394577131899785,0.9622543373005534,0.48731410446212864,0.8531885382474422,0.9058388091935159,0.9927926664248855,0.9871183643797772,1.0,0.9856560432473667,0.9949348524878165,0.9838688300723176,0.9854668704399573,0.985282363127909,0.9907705181291963,0.9732616480656711,0.8204962387081464,0.8732459744949513,0.903956938733252,0.8975764802558373,0.7800690724441703,-0.4868095986093554,0.9076841083993973,-0.04335627979083704,0.5500657791727951,0.4425093173981728,0.9684883085360594,-0.2517114894427408,-0.9183900309781827,-0.8095502625763378,-0.07989675861811654,-0.0821759018679932,-0.03059358621055182,-0.0797820672389394,-0.06157398435465363,-0.08995161929844935,-0.07739581659616881,-0.08413141455525959,-0.08274794373235383,-0.08422731783619393,-0.07774428717661867,-0.0815742646195195,-0.07855464330483068,-0.07914620420245214,-0.07917942797484083,-0.07987627664731076,-0.07597391400587429,-0.09573617777215539,-0.0933862669657159,-0.09615170148311428,-0.09554909617249367,-0.09181840639631338,0.07957341510889535,-0.09485191143314836,0.020135549786243195,-0.08034058691661847,-0.059578725810335964,-0.07723170972323197,-0.07032836498780137,0.10892949657416494,0.13141123242366068,3.853704444746637e-16,-0.26576509128193937
